"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HUR","TOT","PC_LF","M","1998-04",10.9,
"GRC","HUR","TOT","PC_LF","M","1998-05",11,
"GRC","HUR","TOT","PC_LF","M","1998-06",10.9,
"GRC","HUR","TOT","PC_LF","M","1998-07",11,
"GRC","HUR","TOT","PC_LF","M","1998-08",11.2,
"GRC","HUR","TOT","PC_LF","M","1998-09",11.1,
"GRC","HUR","TOT","PC_LF","M","1998-10",11.1,
"GRC","HUR","TOT","PC_LF","M","1998-11",11.4,
"GRC","HUR","TOT","PC_LF","M","1998-12",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-01",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-02",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-03",11.4,
"GRC","HUR","TOT","PC_LF","M","1999-04",12.1,
"GRC","HUR","TOT","PC_LF","M","1999-05",12,
"GRC","HUR","TOT","PC_LF","M","1999-06",12,
"GRC","HUR","TOT","PC_LF","M","1999-07",12,
"GRC","HUR","TOT","PC_LF","M","1999-08",12.1,
"GRC","HUR","TOT","PC_LF","M","1999-09",12,
"GRC","HUR","TOT","PC_LF","M","1999-10",12.3,
"GRC","HUR","TOT","PC_LF","M","1999-11",12.4,
"GRC","HUR","TOT","PC_LF","M","1999-12",12.3,
"GRC","HUR","TOT","PC_LF","M","2000-01",11.5,
"GRC","HUR","TOT","PC_LF","M","2000-02",11.6,
"GRC","HUR","TOT","PC_LF","M","2000-03",11.6,
"GRC","HUR","TOT","PC_LF","M","2000-04",11.5,
"GRC","HUR","TOT","PC_LF","M","2000-05",11.5,
"GRC","HUR","TOT","PC_LF","M","2000-06",11.4,
"GRC","HUR","TOT","PC_LF","M","2000-07",11.3,
"GRC","HUR","TOT","PC_LF","M","2000-08",11.2,
"GRC","HUR","TOT","PC_LF","M","2000-09",11.2,
"GRC","HUR","TOT","PC_LF","M","2000-10",10.6,
"GRC","HUR","TOT","PC_LF","M","2000-11",10.7,
"GRC","HUR","TOT","PC_LF","M","2000-12",10.6,
"GRC","HUR","TOT","PC_LF","M","2001-01",10.5,
"GRC","HUR","TOT","PC_LF","M","2001-02",10.5,
"GRC","HUR","TOT","PC_LF","M","2001-03",10.5,
"GRC","HUR","TOT","PC_LF","M","2001-04",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-05",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-06",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-07",10.7,
"GRC","HUR","TOT","PC_LF","M","2001-08",10.6,
"GRC","HUR","TOT","PC_LF","M","2001-09",10.6,
"GRC","HUR","TOT","PC_LF","M","2001-10",10.9,
"GRC","HUR","TOT","PC_LF","M","2001-11",10.9,
"GRC","HUR","TOT","PC_LF","M","2001-12",10.8,
"GRC","HUR","TOT","PC_LF","M","2002-01",10.7,
"GRC","HUR","TOT","PC_LF","M","2002-02",10.7,
"GRC","HUR","TOT","PC_LF","M","2002-03",10.7,
"GRC","HUR","TOT","PC_LF","M","2002-04",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-05",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-06",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-07",10.3,
"GRC","HUR","TOT","PC_LF","M","2002-08",10.2,
"GRC","HUR","TOT","PC_LF","M","2002-09",10.2,
"GRC","HUR","TOT","PC_LF","M","2002-10",10,
"GRC","HUR","TOT","PC_LF","M","2002-11",10,
"GRC","HUR","TOT","PC_LF","M","2002-12",10,
"GRC","HUR","TOT","PC_LF","M","2003-01",9.8,
"GRC","HUR","TOT","PC_LF","M","2003-02",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-03",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-04",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-05",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-06",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-07",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-08",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-09",9.7,
"GRC","HUR","TOT","PC_LF","M","2003-10",9.9,
"GRC","HUR","TOT","PC_LF","M","2003-11",9.9,
"GRC","HUR","TOT","PC_LF","M","2003-12",9.9,
"GRC","HUR","TOT","PC_LF","M","2004-01",11.2,
"GRC","HUR","TOT","PC_LF","M","2004-02",10.7,
"GRC","HUR","TOT","PC_LF","M","2004-03",10.9,
"GRC","HUR","TOT","PC_LF","M","2004-04",10.5,
"GRC","HUR","TOT","PC_LF","M","2004-05",10.6,
"GRC","HUR","TOT","PC_LF","M","2004-06",10.6,
"GRC","HUR","TOT","PC_LF","M","2004-07",10.6,
"GRC","HUR","TOT","PC_LF","M","2004-08",10.5,
"GRC","HUR","TOT","PC_LF","M","2004-09",10.5,
"GRC","HUR","TOT","PC_LF","M","2004-10",10.4,
"GRC","HUR","TOT","PC_LF","M","2004-11",10.3,
"GRC","HUR","TOT","PC_LF","M","2004-12",10.3,
"GRC","HUR","TOT","PC_LF","M","2005-01",10.2,
"GRC","HUR","TOT","PC_LF","M","2005-02",9.8,
"GRC","HUR","TOT","PC_LF","M","2005-03",10.2,
"GRC","HUR","TOT","PC_LF","M","2005-04",9.9,
"GRC","HUR","TOT","PC_LF","M","2005-05",9.9,
"GRC","HUR","TOT","PC_LF","M","2005-06",10.2,
"GRC","HUR","TOT","PC_LF","M","2005-07",10.2,
"GRC","HUR","TOT","PC_LF","M","2005-08",10.2,
"GRC","HUR","TOT","PC_LF","M","2005-09",10.3,
"GRC","HUR","TOT","PC_LF","M","2005-10",10.1,
"GRC","HUR","TOT","PC_LF","M","2005-11",9.6,
"GRC","HUR","TOT","PC_LF","M","2005-12",9.7,
"GRC","HUR","TOT","PC_LF","M","2006-01",9.3,
"GRC","HUR","TOT","PC_LF","M","2006-02",9.5,
"GRC","HUR","TOT","PC_LF","M","2006-03",9.2,
"GRC","HUR","TOT","PC_LF","M","2006-04",9.1,
"GRC","HUR","TOT","PC_LF","M","2006-05",9.1,
"GRC","HUR","TOT","PC_LF","M","2006-06",9.1,
"GRC","HUR","TOT","PC_LF","M","2006-07",8.8,
"GRC","HUR","TOT","PC_LF","M","2006-08",8.8,
"GRC","HUR","TOT","PC_LF","M","2006-09",8.8,
"GRC","HUR","TOT","PC_LF","M","2006-10",8.5,
"GRC","HUR","TOT","PC_LF","M","2006-11",8.9,
"GRC","HUR","TOT","PC_LF","M","2006-12",9,
"GRC","HUR","TOT","PC_LF","M","2007-01",8.6,
"GRC","HUR","TOT","PC_LF","M","2007-02",8.8,
"GRC","HUR","TOT","PC_LF","M","2007-03",8.8,
"GRC","HUR","TOT","PC_LF","M","2007-04",8.4,
"GRC","HUR","TOT","PC_LF","M","2007-05",8.5,
"GRC","HUR","TOT","PC_LF","M","2007-06",8.4,
"GRC","HUR","TOT","PC_LF","M","2007-07",8.3,
"GRC","HUR","TOT","PC_LF","M","2007-08",8.5,
"GRC","HUR","TOT","PC_LF","M","2007-09",8.5,
"GRC","HUR","TOT","PC_LF","M","2007-10",8.2,
"GRC","HUR","TOT","PC_LF","M","2007-11",7.9,
"GRC","HUR","TOT","PC_LF","M","2007-12",8.1,
"GRC","HUR","TOT","PC_LF","M","2008-01",7.7,
"GRC","HUR","TOT","PC_LF","M","2008-02",7.8,
"GRC","HUR","TOT","PC_LF","M","2008-03",8.1,
"GRC","HUR","TOT","PC_LF","M","2008-04",7.7,
"GRC","HUR","TOT","PC_LF","M","2008-05",7.4,
"GRC","HUR","TOT","PC_LF","M","2008-06",7.6,
"GRC","HUR","TOT","PC_LF","M","2008-07",7.6,
"GRC","HUR","TOT","PC_LF","M","2008-08",7.8,
"GRC","HUR","TOT","PC_LF","M","2008-09",7.8,
"GRC","HUR","TOT","PC_LF","M","2008-10",7.6,
"GRC","HUR","TOT","PC_LF","M","2008-11",8,
"GRC","HUR","TOT","PC_LF","M","2008-12",8.5,
"GRC","HUR","TOT","PC_LF","M","2009-01",9,
"GRC","HUR","TOT","PC_LF","M","2009-02",9.4,
"GRC","HUR","TOT","PC_LF","M","2009-03",9.3,
"GRC","HUR","TOT","PC_LF","M","2009-04",9.3,
"GRC","HUR","TOT","PC_LF","M","2009-05",9.4,
"GRC","HUR","TOT","PC_LF","M","2009-06",9.5,
"GRC","HUR","TOT","PC_LF","M","2009-07",9.8,
"GRC","HUR","TOT","PC_LF","M","2009-08",9.8,
"GRC","HUR","TOT","PC_LF","M","2009-09",10.1,
"GRC","HUR","TOT","PC_LF","M","2009-10",10.1,
"GRC","HUR","TOT","PC_LF","M","2009-11",10.7,
"GRC","HUR","TOT","PC_LF","M","2009-12",10.8,
"GRC","HUR","TOT","PC_LF","M","2010-01",11.1,
"GRC","HUR","TOT","PC_LF","M","2010-02",11.7,
"GRC","HUR","TOT","PC_LF","M","2010-03",11.8,
"GRC","HUR","TOT","PC_LF","M","2010-04",12.1,
"GRC","HUR","TOT","PC_LF","M","2010-05",12.5,
"GRC","HUR","TOT","PC_LF","M","2010-06",12.7,
"GRC","HUR","TOT","PC_LF","M","2010-07",13.1,
"GRC","HUR","TOT","PC_LF","M","2010-08",13,
"GRC","HUR","TOT","PC_LF","M","2010-09",13.6,
"GRC","HUR","TOT","PC_LF","M","2010-10",14.3,
"GRC","HUR","TOT","PC_LF","M","2010-11",14.2,
"GRC","HUR","TOT","PC_LF","M","2010-12",14.9,
"GRC","HUR","TOT","PC_LF","M","2011-01",15.4,
"GRC","HUR","TOT","PC_LF","M","2011-02",15.6,
"GRC","HUR","TOT","PC_LF","M","2011-03",16.4,
"GRC","HUR","TOT","PC_LF","M","2011-04",16.7,
"GRC","HUR","TOT","PC_LF","M","2011-05",16.9,
"GRC","HUR","TOT","PC_LF","M","2011-06",17.4,
"GRC","HUR","TOT","PC_LF","M","2011-07",18.1,
"GRC","HUR","TOT","PC_LF","M","2011-08",18.8,
"GRC","HUR","TOT","PC_LF","M","2011-09",19.1,
"GRC","HUR","TOT","PC_LF","M","2011-10",20.5,
"GRC","HUR","TOT","PC_LF","M","2011-11",20.7,
"GRC","HUR","TOT","PC_LF","M","2011-12",21.5,
"GRC","HUR","TOT","PC_LF","M","2012-01",21.6,
"GRC","HUR","TOT","PC_LF","M","2012-02",22.4,
"GRC","HUR","TOT","PC_LF","M","2012-03",23,
"GRC","HUR","TOT","PC_LF","M","2012-04",23.5,
"GRC","HUR","TOT","PC_LF","M","2012-05",24.2,
"GRC","HUR","TOT","PC_LF","M","2012-06",25.2,
"GRC","HUR","TOT","PC_LF","M","2012-07",25.4,
"GRC","HUR","TOT","PC_LF","M","2012-08",26,
"GRC","HUR","TOT","PC_LF","M","2012-09",26.5,
"GRC","HUR","TOT","PC_LF","M","2012-10",26.2,
"GRC","HUR","TOT","PC_LF","M","2012-11",27,
"GRC","HUR","TOT","PC_LF","M","2012-12",26.9,
"GRC","HUR","TOT","PC_LF","M","2013-01",27.3,
"GRC","HUR","TOT","PC_LF","M","2013-02",27.3,
"GRC","HUR","TOT","PC_LF","M","2013-03",27.6,
"GRC","HUR","TOT","PC_LF","M","2013-04",28,
"GRC","HUR","TOT","PC_LF","M","2013-05",28,
"GRC","HUR","TOT","PC_LF","M","2013-06",27.9,
"GRC","HUR","TOT","PC_LF","M","2013-07",28.1,
"GRC","HUR","TOT","PC_LF","M","2013-08",27.9,
"GRC","HUR","TOT","PC_LF","M","2013-09",28.1,
"GRC","HUR","TOT","PC_LF","M","2013-10",27.7,
"GRC","HUR","TOT","PC_LF","M","2013-11",27.9,
"GRC","HUR","TOT","PC_LF","M","2013-12",27.8,
"GRC","HUR","TOT","PC_LF","M","2014-01",27.2,
"GRC","HUR","TOT","PC_LF","M","2014-02",27.6,
"GRC","HUR","TOT","PC_LF","M","2014-03",27.2,
"GRC","HUR","TOT","PC_LF","M","2014-04",27.1,
"GRC","HUR","TOT","PC_LF","M","2014-05",27.3,
"GRC","HUR","TOT","PC_LF","M","2014-06",26.7,
"GRC","HUR","TOT","PC_LF","M","2014-07",26.3,
"GRC","HUR","TOT","PC_LF","M","2014-08",26.3,
"GRC","HUR","TOT","PC_LF","M","2014-09",26.2,
"GRC","HUR","TOT","PC_LF","M","2014-10",26,
"GRC","HUR","TOT","PC_LF","M","2014-11",25.7,
"GRC","HUR","TOT","PC_LF","M","2014-12",25.9,
"GRC","HUR","TOT","PC_LF","M","2015-01",25.8,
"GRC","HUR","TOT","PC_LF","M","2015-02",25.9,
"GRC","HUR","TOT","PC_LF","M","2015-03",26.1,
"GRC","HUR","TOT","PC_LF","M","2015-04",25.4,
"GRC","HUR","TOT","PC_LF","M","2015-05",24.7,
"GRC","HUR","TOT","PC_LF","M","2015-06",25,
"GRC","HUR","TOT","PC_LF","M","2015-07",25,
"GRC","HUR","TOT","PC_LF","M","2015-08",24.2,
"GRC","HUR","TOT","PC_LF","M","2015-09",24.9,
"GRC","HUR","TOT","PC_LF","M","2015-10",24.8,
"GRC","HUR","TOT","PC_LF","M","2015-11",24.2,
"GRC","HUR","TOT","PC_LF","M","2015-12",24.2,
"GRC","HUR","TOT","PC_LF","M","2016-01",24.7,
"GRC","HUR","TOT","PC_LF","M","2016-02",24.2,
"GRC","HUR","TOT","PC_LF","M","2016-03",24.2,
"GRC","HUR","TOT","PC_LF","M","2016-04",23.9,
"GRC","HUR","TOT","PC_LF","M","2016-05",23.9,
"GRC","HUR","TOT","PC_LF","M","2016-06",23.6,
"GRC","HUR","TOT","PC_LF","M","2016-07",23.8,
"GRC","HUR","TOT","PC_LF","M","2016-08",23.9,
"GRC","HUR","TOT","PC_LF","M","2016-09",23.3,
"GRC","HUR","TOT","PC_LF","M","2016-10",23.6,
"GRC","HUR","TOT","PC_LF","M","2016-11",23.7,
"GRC","HUR","TOT","PC_LF","M","2016-12",23.7,
"GRC","HUR","TOT","PC_LF","M","2017-01",23.5,
"GRC","HUR","TOT","PC_LF","M","2017-02",23.1,
"GRC","HUR","TOT","PC_LF","M","2017-03",22.6,
"GRC","HUR","TOT","PC_LF","M","2017-04",22.1,
"GRC","HUR","TOT","PC_LF","M","2017-05",22.1,
"GRC","HUR","TOT","PC_LF","M","2017-06",21.4,
"GRC","HUR","TOT","PC_LF","M","2017-07",21.2,
"GRC","HUR","TOT","PC_LF","M","2017-08",21.1,
"GRC","HUR","TOT","PC_LF","M","2017-09",21.1,
"GRC","HUR","TOT","PC_LF","M","2017-10",21.1,
"GRC","HUR","TOT","PC_LF","M","2017-11",21.4,
"GRC","HUR","TOT","PC_LF","M","2017-12",21.2,
"GRC","HUR","TOT","PC_LF","M","2018-01",20.9,
"GRC","HUR","TOT","PC_LF","M","2018-02",21.4,
"GRC","HUR","TOT","PC_LF","M","2018-03",20.6,
"GRC","HUR","TOT","PC_LF","M","2018-04",20.1,
"GRC","HUR","TOT","PC_LF","M","2018-05",19.7,
"GRC","HUR","TOT","PC_LF","M","2018-06",19.5,
"GRC","HUR","TOT","PC_LF","M","2018-07",19.3,
"GRC","HUR","TOT","PC_LF","M","2018-08",19.3,
"GRC","HUR","TOT","PC_LF","M","2018-09",19.1,
"GRC","HUR","TOT","PC_LF","M","2018-10",18.9,
"GRC","HUR","TOT","PC_LF","M","2018-11",19.2,
"GRC","HUR","TOT","PC_LF","M","2018-12",19,
"GRC","HUR","TOT","PC_LF","M","2019-01",19.4,
"GRC","HUR","TOT","PC_LF","M","2019-02",19.3,
"GRC","HUR","TOT","PC_LF","M","2019-03",18.9,
"GRC","HUR","TOT","PC_LF","M","2019-04",18.2,
"GRC","HUR","TOT","PC_LF","M","2019-05",17.6,
"GRC","HUR","TOT","PC_LF","M","2019-06",17.4,
"GRC","HUR","TOT","PC_LF","M","2019-07",17.6,
"GRC","HUR","TOT","PC_LF","M","2019-08",17.4,
"GRC","HUR","TOT","PC_LF","M","2019-09",17.4,
"GRC","HUR","TOT","PC_LF","M","2019-10",17.1,
"GRC","HUR","TOT","PC_LF","M","2019-11",17,
"GRC","HUR","TOT","PC_LF","M","2019-12",17,
"GRC","HUR","TOT","PC_LF","M","2020-01",16.5,
"GRC","HUR","TOT","PC_LF","M","2020-02",16.4,
"GRC","HUR","TOT","PC_LF","M","2020-03",17,
"GRC","HUR","TOT","PC_LF","M","2020-04",18.4,
"GRC","HUR","TOT","PC_LF","M","2020-05",19.6,
"GRC","HUR","TOT","PC_LF","M","2020-06",20.3,
"GRC","HUR","TOT","PC_LF","M","2020-07",17.4,
"GRC","HUR","TOT","PC_LF","M","2020-08",17,
"GRC","HUR","TOT","PC_LF","M","2020-09",16.9,
"GRC","HUR","TOT","PC_LF","M","2020-10",17.5,
"GRC","HUR","TOT","PC_LF","M","2020-11",17.3,
"GRC","HUR","TOT","PC_LF","M","2020-12",16.8,
"GRC","HUR","TOT","PC_LF","M","2021-01",16.4,
"GRC","HUR","TOT","PC_LF","M","2021-02",15.9,
"GRC","HUR","TOT","PC_LF","M","2021-03",17.2,
"GRC","HUR","TOT","PC_LF","M","2021-04",17.2,
"GRC","HUR","TOT","PC_LF","M","2021-05",15.6,
"GRC","HUR","TOT","PC_LF","M","2021-06",15,
"GRC","HUR","TOT","PC_LF","M","2021-07",14.4,
"GRC","HUR","TOT","PC_LF","M","2021-08",13.7,
"GRC","HUR","TOT","PC_LF","M","2021-09",13.1,
"GRC","HUR","TOT","PC_LF","M","2021-10",13.3,
"GRC","HUR","TOT","PC_LF","M","2021-11",12.9,
"GRC","HUR","TOT","PC_LF","M","2021-12",12.9,
"GRC","HUR","TOT","PC_LF","M","2022-01",13.6,
"GRC","HUR","TOT","PC_LF","M","2022-02",13.1,
"GRC","HUR","TOT","PC_LF","M","2022-03",12.8,
"GRC","HUR","TOT","PC_LF","M","2022-04",12.8,
"GRC","HUR","TOT","PC_LF","M","2022-05",12.7,
"GRC","HUR","TOT","PC_LF","M","2022-06",12.4,
"GRC","HUR","TOT","PC_LF","M","2022-07",12.3,
"GRC","HUR","TOT","PC_LF","M","2022-08",12.2,
"OECD","HUR","TOT","PC_LF","M","2001-01",6.455136,"E"
"OECD","HUR","TOT","PC_LF","M","2001-02",6.472866,"E"
"OECD","HUR","TOT","PC_LF","M","2001-03",6.474825,"E"
"OECD","HUR","TOT","PC_LF","M","2001-04",6.497714,"E"
"OECD","HUR","TOT","PC_LF","M","2001-05",6.51977,"E"
"OECD","HUR","TOT","PC_LF","M","2001-06",6.574125,"E"
"OECD","HUR","TOT","PC_LF","M","2001-07",6.650966,"E"
"OECD","HUR","TOT","PC_LF","M","2001-08",6.749544,"E"
"OECD","HUR","TOT","PC_LF","M","2001-09",6.793174,"E"
"OECD","HUR","TOT","PC_LF","M","2001-10",6.969854,"E"
"OECD","HUR","TOT","PC_LF","M","2001-11",7.045857,"E"
"OECD","HUR","TOT","PC_LF","M","2001-12",7.123289,"E"
"OECD","HUR","TOT","PC_LF","M","2002-01",7.135111,"E"
"OECD","HUR","TOT","PC_LF","M","2002-02",7.142839,"E"
"OECD","HUR","TOT","PC_LF","M","2002-03",7.145876,"E"
"OECD","HUR","TOT","PC_LF","M","2002-04",7.214641,"E"
"OECD","HUR","TOT","PC_LF","M","2002-05",7.190686,"E"
"OECD","HUR","TOT","PC_LF","M","2002-06",7.210404,"E"
"OECD","HUR","TOT","PC_LF","M","2002-07",7.233804,"E"
"OECD","HUR","TOT","PC_LF","M","2002-08",7.254714,"E"
"OECD","HUR","TOT","PC_LF","M","2002-09",7.241006,"E"
"OECD","HUR","TOT","PC_LF","M","2002-10",7.255239,"E"
"OECD","HUR","TOT","PC_LF","M","2002-11",7.278753,"E"
"OECD","HUR","TOT","PC_LF","M","2002-12",7.310959,"E"
"OECD","HUR","TOT","PC_LF","M","2003-01",7.289492,"E"
"OECD","HUR","TOT","PC_LF","M","2003-02",7.281932,"E"
"OECD","HUR","TOT","PC_LF","M","2003-03",7.317808,"E"
"OECD","HUR","TOT","PC_LF","M","2003-04",7.359396,"E"
"OECD","HUR","TOT","PC_LF","M","2003-05",7.394091,"E"
"OECD","HUR","TOT","PC_LF","M","2003-06",7.452662,"E"
"OECD","HUR","TOT","PC_LF","M","2003-07",7.382152,"E"
"OECD","HUR","TOT","PC_LF","M","2003-08",7.342532,"E"
"OECD","HUR","TOT","PC_LF","M","2003-09",7.354749,"E"
"OECD","HUR","TOT","PC_LF","M","2003-10",7.29136,"E"
"OECD","HUR","TOT","PC_LF","M","2003-11",7.267657,"E"
"OECD","HUR","TOT","PC_LF","M","2003-12",7.214298,"E"
"OECD","HUR","TOT","PC_LF","M","2004-01",7.292731,"E"
"OECD","HUR","TOT","PC_LF","M","2004-02",7.273876,"E"
"OECD","HUR","TOT","PC_LF","M","2004-03",7.315883,"E"
"OECD","HUR","TOT","PC_LF","M","2004-04",7.218083,"E"
"OECD","HUR","TOT","PC_LF","M","2004-05",7.208362,"E"
"OECD","HUR","TOT","PC_LF","M","2004-06",7.201144,"E"
"OECD","HUR","TOT","PC_LF","M","2004-07",7.179914,"E"
"OECD","HUR","TOT","PC_LF","M","2004-08",7.151233,"E"
"OECD","HUR","TOT","PC_LF","M","2004-09",7.129584,"E"
"OECD","HUR","TOT","PC_LF","M","2004-10",7.119668,"E"
"OECD","HUR","TOT","PC_LF","M","2004-11",7.089467,"E"
"OECD","HUR","TOT","PC_LF","M","2004-12",7.054358,"E"
"OECD","HUR","TOT","PC_LF","M","2005-01",6.930692,"E"
"OECD","HUR","TOT","PC_LF","M","2005-02",6.951021,"E"
"OECD","HUR","TOT","PC_LF","M","2005-03",6.904534,"E"
"OECD","HUR","TOT","PC_LF","M","2005-04",6.923991,"E"
"OECD","HUR","TOT","PC_LF","M","2005-05",6.909614,"E"
"OECD","HUR","TOT","PC_LF","M","2005-06",6.863743,"E"
"OECD","HUR","TOT","PC_LF","M","2005-07",6.816964,"E"
"OECD","HUR","TOT","PC_LF","M","2005-08",6.73733,"E"
"OECD","HUR","TOT","PC_LF","M","2005-09",6.78102,"E"
"OECD","HUR","TOT","PC_LF","M","2005-10",6.786111,"E"
"OECD","HUR","TOT","PC_LF","M","2005-11",6.742584,"E"
"OECD","HUR","TOT","PC_LF","M","2005-12",6.651325,"E"
"OECD","HUR","TOT","PC_LF","M","2006-01",6.585611,"E"
"OECD","HUR","TOT","PC_LF","M","2006-02",6.548286,"E"
"OECD","HUR","TOT","PC_LF","M","2006-03",6.486808,"E"
"OECD","HUR","TOT","PC_LF","M","2006-04",6.434021,"E"
"OECD","HUR","TOT","PC_LF","M","2006-05",6.327238,"E"
"OECD","HUR","TOT","PC_LF","M","2006-06",6.340631,"E"
"OECD","HUR","TOT","PC_LF","M","2006-07",6.330748,"E"
"OECD","HUR","TOT","PC_LF","M","2006-08",6.30364,"E"
"OECD","HUR","TOT","PC_LF","M","2006-09",6.214893,"E"
"OECD","HUR","TOT","PC_LF","M","2006-10",6.131178,"E"
"OECD","HUR","TOT","PC_LF","M","2006-11",6.119084,"E"
"OECD","HUR","TOT","PC_LF","M","2006-12",6.056123,"E"
"OECD","HUR","TOT","PC_LF","M","2007-01",6.060064,"E"
"OECD","HUR","TOT","PC_LF","M","2007-02",6.00155,"E"
"OECD","HUR","TOT","PC_LF","M","2007-03",5.935384,"E"
"OECD","HUR","TOT","PC_LF","M","2007-04",5.840581,"E"
"OECD","HUR","TOT","PC_LF","M","2007-05",5.79937,"E"
"OECD","HUR","TOT","PC_LF","M","2007-06",5.782465,"E"
"OECD","HUR","TOT","PC_LF","M","2007-07",5.805529,"E"
"OECD","HUR","TOT","PC_LF","M","2007-08",5.806977,"E"
"OECD","HUR","TOT","PC_LF","M","2007-09",5.836487,"E"
"OECD","HUR","TOT","PC_LF","M","2007-10",5.848814,"E"
"OECD","HUR","TOT","PC_LF","M","2007-11",5.780702,"E"
"OECD","HUR","TOT","PC_LF","M","2007-12",5.824956,"E"
"OECD","HUR","TOT","PC_LF","M","2008-01",5.827263,"E"
"OECD","HUR","TOT","PC_LF","M","2008-02",5.797925,"E"
"OECD","HUR","TOT","PC_LF","M","2008-03",5.847588,"E"
"OECD","HUR","TOT","PC_LF","M","2008-04",5.818415,"E"
"OECD","HUR","TOT","PC_LF","M","2008-05",5.946185,"E"
"OECD","HUR","TOT","PC_LF","M","2008-06",6.053014,"E"
"OECD","HUR","TOT","PC_LF","M","2008-07",6.145544,"E"
"OECD","HUR","TOT","PC_LF","M","2008-08",6.256328,"E"
"OECD","HUR","TOT","PC_LF","M","2008-09",6.315892,"E"
"OECD","HUR","TOT","PC_LF","M","2008-10",6.454421,"E"
"OECD","HUR","TOT","PC_LF","M","2008-11",6.775399,"E"
"OECD","HUR","TOT","PC_LF","M","2008-12",7.052037,"E"
"OECD","HUR","TOT","PC_LF","M","2009-01",7.379824,"E"
"OECD","HUR","TOT","PC_LF","M","2009-02",7.715211,"E"
"OECD","HUR","TOT","PC_LF","M","2009-03",8.009882,"E"
"OECD","HUR","TOT","PC_LF","M","2009-04",8.205462,"E"
"OECD","HUR","TOT","PC_LF","M","2009-05",8.387162,"E"
"OECD","HUR","TOT","PC_LF","M","2009-06",8.450768,"E"
"OECD","HUR","TOT","PC_LF","M","2009-07",8.510699,"E"
"OECD","HUR","TOT","PC_LF","M","2009-08",8.573839,"E"
"OECD","HUR","TOT","PC_LF","M","2009-09",8.657306,"E"
"OECD","HUR","TOT","PC_LF","M","2009-10",8.678396,"E"
"OECD","HUR","TOT","PC_LF","M","2009-11",8.647399,"E"
"OECD","HUR","TOT","PC_LF","M","2009-12",8.606811,"E"
"OECD","HUR","TOT","PC_LF","M","2010-01",8.713555,"E"
"OECD","HUR","TOT","PC_LF","M","2010-02",8.670844,"E"
"OECD","HUR","TOT","PC_LF","M","2010-03",8.64954,"E"
"OECD","HUR","TOT","PC_LF","M","2010-04",8.698198,"E"
"OECD","HUR","TOT","PC_LF","M","2010-05",8.555559,"E"
"OECD","HUR","TOT","PC_LF","M","2010-06",8.457772,"E"
"OECD","HUR","TOT","PC_LF","M","2010-07",8.441893,"E"
"OECD","HUR","TOT","PC_LF","M","2010-08",8.403732,"E"
"OECD","HUR","TOT","PC_LF","M","2010-09",8.417768,"E"
