DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2008,695,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2009,1040,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2010,600,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2011,1005,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2012,1375,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2013,935,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2014,1975,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2015,8275,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2016,3900,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2017,1350,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2018,390,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2019,860,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2020,1370,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,AT,2021,5605,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2008,470,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2009,705,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2010,860,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2011,1385,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2012,975,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2013,415,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2014,470,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2015,2545,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2016,1020,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2017,735,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2018,750,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2019,1220,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2020,1210,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BE,2021,1780,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2008,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2009,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2010,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2011,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2012,60,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2013,185,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2014,940,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2015,1815,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2016,2750,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2017,440,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2018,480,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2019,525,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2020,800,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,BG,2021,3170,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2008,595,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2009,415,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2010,220,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2011,310,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2012,495,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2013,355,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2014,775,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2015,2670,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2016,1985,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2017,765,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2018,435,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2019,490,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2020,600,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CH,2021,1100,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2008,70,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2009,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2010,35,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2011,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2012,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2013,55,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2014,50,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2015,105,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2016,215,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2017,225,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2018,260,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2019,565,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2020,190,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CY,2021,395,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2008,35,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2009,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2010,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2011,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2012,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2013,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2014,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2015,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2016,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2017,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2018,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2019,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2020,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,CZ,2021,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2008,765,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2009,1305,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2010,1950,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2011,2125,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2012,2095,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2013,2485,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2014,4400,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2015,22255,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2016,35935,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2017,9085,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2018,4085,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2019,2690,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2020,2230,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DE,2021,3250,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2008,300,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2009,520,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2010,410,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2011,270,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2012,355,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2013,350,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2014,815,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2015,2125,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2016,1185,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2017,460,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2018,240,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2019,195,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2020,145,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,DK,2021,115,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2008,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2009,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2010,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2011,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2012,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2013,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2014,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2015,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2016,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2017,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2018,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2019,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2020,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EE,2021,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2008,295,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2009,40,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2010,145,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2011,60,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2012,75,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2013,325,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2014,440,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2015,420,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2016,2350,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2017,2455,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2018,2640,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2019,3330,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2020,2800,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,EL,2021,2275,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2008,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2009,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2010,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2011,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2012,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2013,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2014,15,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2015,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2016,30,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2017,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ES,2018,75,
